title,price,location,size_m2,url,page
Apartment for sale in Hammamet Sud. 1 Room. Fully furnished,"335,000 TND",Hammamet,"105
						m²",N/A,1
Sale of a lovely apartment in Cité Taieb Mhiri. 2 comfortabl...,Price on request,La Marsa,"66
						m²",N/A,1
Find an apartment to buy in Cité Les Pins. 1 lovely room. Se...,"385,000 TND",La Marsa,"69
						m²",N/A,1
Sell apartment in Les Jardins de Carthage. 3 rooms. Thermal...,Price on request,Le Kram,"119
						m²",N/A,1
Apartment for sale in Les Jardins de Carthage. 2 rooms. Doub...,"419,000 TND",Le Kram,"99
						m²",N/A,1
Find an apartment to buy in Les Jardins de Carthage. 2 lovel...,Price on request,Le Kram,"115
						m²",N/A,1
Find an apartment to buy in Sousse Jaouhara. 2 beautiful roo...,"282,000 TND",Sousse Jaouhara,"98
						m²",N/A,1
Résidence Canopée - Chotrana 1,"From460,000 TND",La Soukra,N/A,N/A,1
Apartment to purchase in Les Jardins d'El Menzah 2.4 large r...,"676,000 TND",Ariana Ville,"211
						m²",N/A,1
Apartment for sale in Kairouan Ville. Area of 95 m². Equippe...,"223,532 TND",Kairouan Ville,"95
						m²",N/A,1
Apartment for sale in Bhar Lazreg. Small area 81 m²,"283,000 TND",La Marsa,"81
						m²",N/A,1
Sell apartment in Les Jardins de Carthage. 1 room. Enclosed...,"533,600 TND",Le Kram,"92
						m²",N/A,1
Sell apartment in Les Jardins de Carthage. 3 large rooms. Ro...,"672,800 TND",Le Kram,"116
						m²",N/A,1
Sale of a lovely apartment in Les Jardins de Carthage. 2 bea...,"748,200 TND",Le Kram,"129
						m²",N/A,1
Find an apartment to buy in Les Jardins de Carthage. 2 lovel...,"533,600 TND",Le Kram,"92
						m²",N/A,1
Sell apartment in Les Jardins de Carthage. Small area 121 m²...,"748,200 TND",Le Kram,"121
						m²",N/A,1
Sale of a lovely apartment in Nouvelle Medina. Area of 124 m...,"335,000 TND",Nouvelle Medina,"124
						m²",N/A,1
Fabulous apartment for sale in Nouvelle Medina. Large area 6...,"180,000 TND",Nouvelle Medina,"61
						m²",N/A,1
Apartment for sale in Nouvelle Medina. 2 beautiful rooms. Re...,"325,000 TND",Nouvelle Medina,"121
						m²",N/A,1
