page,title,price,location,listing_date,url,source,size_m2,price_num,type,bedrooms,location_clean
1,terrain à vendre,700 DT,Sousse,7 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/sousse/akouda/terrain-vendre/696f68f42838b4e20246dc0a/,tayara,,700.0,sale,,Sousse
1,🌸 À VENDRE – Appartement S+1 | Jamais Habité 🌸 📍 Cité Wahat,185000 DT,Tunis,14 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s1-jamais-habit-cit-wahat/696f6780abc480ecf871f01f/,tayara,,185000.0,sale,,Tunis
1,À vendre Terrain 916m2 Aghir,140 DT,Médenine,15 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/mdenine/aghir/-vendre-terrain-916m2-aghir/696e127d61206a95d69365f1/,tayara,,140.0,sale,,Médenine
1,"🏡 À VENDRE | Appartement S+1 – Cité Wahat, L’Aouina🏡",187000 DT,Tunis,15 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s1-cit-wahat-laouina/696f67122838b4e20246db70/,tayara,,187000.0,sale,,Tunis
1,À vendre Terrain 718m2 Aghir,140 DT,Médenine,16 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/mdenine/aghir/-vendre-terrain-718m2-aghir/696e14fc2838b4e202466d3a/,tayara,,140.0,sale,,Médenine
1,a vendre s+4 spacieuse avec parking ss a laouina,395000 DT,Tunis,17 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s4-spacieuse-avec-parking-ss-a-laouina/696f66bd2838b4e20246db49/,tayara,,395000.0,sale,,Tunis
1,À vendre S+1 / S+2 / S+3sur plan – Remise des clés fin 2027 Salle de sport équipé Piscine collective,2 DT,Tunis,17 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-s1-s2-s3sur-plan-remise-des-cls-fin-2027-salle-de-sport-quip-piscine-collective/696f669aabc480ecf871efc5/,tayara,,2.0,sale,,Tunis
1,🏡 À Vendre – S+2 avec Jardin 95 m2• Direct Promoteur • Nouvelle soukra couvert 90 m2,430000 DT,Tunis,18 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-s2-avec-jardin-95-m2-direct-promoteur-nouvelle-soukra-couvert-90-m2/696f66782838b4e20246db2c/,tayara,,430000.0,sale,,Tunis
1,📍 a vendre s+1 avec parking ss – Vue dégagée sur la Clinique La Soukra,260000 DT,Tunis,19 minutes ago,https://www.tayara.tn/item/maisons-et-villas/tunis/l-aouina/-a-vendre-s1-avec-parking-ss-vue-dgage-sur-la-clinique-la-soukra/696f662d2838b4e20246db16/,tayara,,260000.0,sale,,Tunis
1,A vendre deux lots de terrain 430m² est 341m² Titre individuelle viabilisé Lotissement ELMASSMOUDI 300m du rom-point Parc Soukra,800 DT,Ariana,20 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/ariana/la-soukra/a-vendre-deux-lots-de-terrain-430m-est-341m-titre-individuelle-viabilis-lotissement-elmassmoudi-300m-du-rompoint-parc-soukra/6746fccd0d8480a1e0188710/,tayara,,800.0,sale,,Ariana
1,A vendre un terrain 147m² titre individuelle ce trouve a coté clinique soukra Ain Zaghouin la Marsa,200000 DT,tunis,21 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/tunis/tunis/a-vendre-un-terrain-147m-titre-individuelle-ce-trouve-a-cot-clinique-soukra-ain-zaghouin-la-marsa/67596cdf8729cead59eae56b/,tayara,,200000.0,sale,,Tunis
1,A vendre Villa S+3 + studio – 330 m² terrain – Carthage Dermech,950000 DT,Tunis,21 minutes ago,https://www.tayara.tn/item/maisons-et-villas/tunis/carthage/a-vendre-villa-s3-studio-330-m-terrain-carthage-dermech/696f65b2abc480ecf871ef6e/,tayara,,950000.0,sale,,Tunis
