scrape_date,category,title,price,location,size_m2,rooms,url,source,page
20260120,house_sale,"House for sale in Hammamet. Total area 220 m². Carpark, Balc...","330,000 TND",,220 m²,4,N/A,mubawab_ultra,1
20260120,house_sale,Very nice house for sale in El Menzah 1. 6 lovely rooms. Lar...,"650,000 TND",,380 m²,6,N/A,mubawab_ultra,1
20260120,house_sale,Very nice house for sale in La Marsa. Small area 350 m². Int...,"750,000 TND",,350 m²,5,N/A,mubawab_ultra,1
20260120,house_sale,For sale: a triplex in S5 with swimming pool in Gammarth,"920,000 TND",,270 m²,5,N/A,mubawab_ultra,1
20260120,house_sale,Beautiful house for sale in La Marsa. Area of 1200 m². caret...,"900,000 TND",,1200 m²,6,N/A,mubawab_ultra,1
20260120,house_sale,House for sale,"300,000 TND",,N/A,N/A,N/A,mubawab_ultra,1
20260120,house_sale,House for sale. 4 large living areas. Garage,"650,000 TND",,150 m²,4,N/A,mubawab_ultra,1
20260120,house_sale,Khadouja Residence,"533,600 TND",,N/A,N/A,N/A,mubawab_ultra,1
20260120,house_sale,Find your house to buy. 3 large rooms. Beautiful terrace and...,"480,000 TND",,95 m²,2,N/A,mubawab_ultra,1
20260120,house_sale,Very nice house for sale in La Marsa. 3 lovely rooms. Garden...,"580,000 TND",,200 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,Beautiful house for sale in Midoune. 3 rooms. Parking spaces...,"600,000 TND",,680 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,Very nice house for sale. Area 150 m². Terrace and garden,"550,000 TND",,150 m²,4,N/A,mubawab_ultra,1
20260120,house_sale,House to buy in Bizerte. 3 rooms. Balcony,"135,000 TND",,85 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,Very nice house for sale. 3 beautiful rooms. Balcony,"380,000 TND",,160 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Chotrana 2.8 large living areas. Double gl...,"500,000 TND",,600 m²,5,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Chotrana 3. Area 200 m². Residence with ca...,"985,000 TND",,200 m²,4,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Chotrana 1. 4 comfortable rooms. Terrace a...,"830,000 TND",,226 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,Home to buy in La Soukra. Large area 245 m². Residence with...,"790,000 TND",,245 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Cité de la Plage. 4 lovely rooms. Garage a...,"770,000 TND",,151 m²,4,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Cité el Ghazela. 3 beautiful rooms. Garden...,"680,000 TND",,150 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,House to buy in La Marsa. 2 lovely rooms. Balcony,"510,000 TND",,85 m²,2,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in La Marsa. 3 beautiful rooms,"900,000 TND",,538 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,Beautiful house for sale in Les Berges Du Lac 1. Surface are...,N/A,,300 m²,4,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Bab Souika. 6 comfortable rooms,"100,000 TND",,257 m²,5,N/A,mubawab_ultra,1
20260120,house_sale,Very nice house for sale in El Menzah 4. Area 200 m². Air co...,"720,000 TND",,200 m²,6,N/A,mubawab_ultra,1
20260120,house_sale,"House to buy. Total area 200 m². Green areas, Parking spaces...","120,000 TND",,200 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,Find your house to buy in La Soukra. 2 rooms,N/A,,100 m²,2,N/A,mubawab_ultra,1
20260120,house_sale,House for sale. 3 lovely rooms. Central heating,"620,000 TND",,416 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Mutuelle Ville. 6 lovely rooms. Property w...,N/A,,1033 m²,6,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Erriadh. 2 rooms. Basement,"650,000 TND",,476 m²,2,N/A,mubawab_ultra,1
20260120,house_sale,House for sale in Bizerte. 6 large rooms. Fitted kitchen,N/A,,234 m²,4,N/A,mubawab_ultra,1
20260120,house_sale,Very nice house for sale in La Marsa. 3 beautiful rooms. Gre...,"500,000 TND",,250 m²,3,N/A,mubawab_ultra,1
20260120,house_sale,"Home to buy in Bhar Lazreg. Large area 235 m². Green area, B...","850,000 TND",,235 m²,7,N/A,mubawab_ultra,1
20260120,house_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,1
20260120,house_sale,Very nice house for sale in Bizerte. Dimension 92 m². Double...,"220,000 TND",,92 m²,3,N/A,mubawab_ultra,2
20260120,house_sale,"House to buy. 2 rooms. Green areas, Balcony","600,000 TND",,240 m²,2,N/A,mubawab_ultra,2
20260120,house_sale,Home to buy. 4 beautiful rooms. Garden and terrace,"160,000 TND",,224 m²,4,N/A,mubawab_ultra,2
20260120,house_sale,"Home to buy in Bizerte. Surface area 154 m². Cellar, Large t...","320,000 TND",,154 m²,5,N/A,mubawab_ultra,2
20260120,house_sale,House for sale in La Marsa. 5 large living areas. Terrace an...,"880,000 TND",,250 m²,4,N/A,mubawab_ultra,2
20260120,house_sale,Beautiful house for sale in Les Berges Du Lac 2. Dimension 2...,"380,000 TND",,243 m²,3,N/A,mubawab_ultra,2
20260120,house_sale,Beautiful house for sale in La Soukra. 5 beautiful rooms. Pr...,N/A,,615 m²,5,N/A,mubawab_ultra,2
20260120,house_sale,JINENE SOUKRA: Luxury and Comfort at Chotrana 3,"390,000 TND",,N/A,N/A,N/A,mubawab_ultra,2
20260120,house_sale,Beautiful house for sale in La Marsa. Small area 250 m². Gar...,N/A,,250 m²,3,N/A,mubawab_ultra,2
20260120,house_sale,Land for purchase. Large area 1975 m²,"260,000 TND",,1975 m²,4,N/A,mubawab_ultra,2
20260120,house_sale,House for sale. Dimension 230 m². Green area,"700,000 TND",,230 m²,3,N/A,mubawab_ultra,2
20260120,house_sale,Find your house to buy in Les Jardins d'El Menzah 2. 4 rooms...,"250,000 TND",,480 m²,4,N/A,mubawab_ultra,2
20260120,house_sale,Very nice house for sale in Hammamet. Large area 400 m². Exc...,"050,000 TND",,400 m²,4,N/A,mubawab_ultra,2
20260120,house_sale,House for sale in Hammamet Sud. 4 lovely rooms. Caretaker av...,"000,000 TND",,220 m²,4,N/A,mubawab_ultra,2
20260120,house_sale,House to buy in El Kantaoui. 2 rooms. Garden and terrace,"180,000 TND",,378 m²,2,N/A,mubawab_ultra,2
20260120,house_sale,Beautiful house for sale in Cité Ennasr 1.3 lovely rooms. Gr...,"700,000 TND",,412 m²,3,N/A,mubawab_ultra,2
20260120,house_sale,House to buy in Mnihla. 9 comfortable rooms. Exceptional mou...,"550,000 TND",,340 m²,6,N/A,mubawab_ultra,2
20260120,house_sale,Beautiful house for sale in Denden. Surface area 222 m². Rob...,"670,000 TND",,222 m²,10,N/A,mubawab_ultra,2
