listing_id,listing_type,title,price_text,city,area,size_m2,rooms_text,bathrooms_text,pieces_text,condition,furnished_text,thumbnail_url,detail_url,description,property_type,bedrooms_detail,bathrooms_detail,surface_detail,year_built,features_raw,has_garden,has_terrace,has_balcony,has_pool,has_garage,has_cellar,has_security,has_ac,has_heating,has_equipped_kitchen
8275631,sale,"Maison à vendre à Hammamet, zone Villa Verde",330 000 TND,Hammamet,,220 m²,4 Chambres,,5 Pièces,,,https://www.mubawab-media.com/ad/8/275/631F/h/10_81667456.avif,https://www.mubawab.tn/fr/a/8275631/maison-%C3%A0-vendre-%C3%A0-hammamet-zone-villa-verde,,,,,,,,False,False,False,False,False,False,False,False,False,False
8287385,sale,Vente villa a elmenzah 4,1 650 000 TND,El Menzah,El Menzah 1,380 m²,6 Chambres,,8 Pièces,,,https://www.mubawab-media.com/ad/8/287/385F/h/20260107_101747_81794863.avif,https://www.mubawab.tn/fr/a/8287385/vente-villa-a-elmenzah-4,,,,,,,,False,False,False,False,False,False,False,False,False,False
8258691,sale,Duplex s5 à La Marsa,750 000 TND,La Marsa,,350 m²,5 Chambres,,,,,https://www.mubawab-media.com/ad/8/258/691F/h/thumb_1214338_property_xlarge_81474317.avif,https://www.mubawab.tn/fr/a/8258691/duplex-s5-%C3%A0-la-marsa,,,,,,,,False,False,False,False,False,False,False,False,False,False
8282073,sale,A vendre un triplex en S5 avec piscine à Gammarth,920 000 TND,La Marsa,Gammarth,270 m²,5 Chambres,1 Salle de bain,6 Pièces,,,https://www.mubawab-media.com/ad/8/282/073F/h/thumb_1235361_property_large_81742316.avif,https://www.mubawab.tn/fr/a/8282073/a-vendre-un-triplex-en-s5-avec-piscine-%C3%A0-gammarth,,,,,,,,False,False,False,False,False,False,False,False,False,False
8286514,sale,Villa de Maître S6 à Gammarth,3 900 000 TND,La Marsa,,1200 m²,6 Chambres,,,,,https://www.mubawab-media.com/ad/8/286/514F/h/thumb_1128381_property_xlarge_81785535.avif,https://www.mubawab.tn/fr/a/8286514/villa-de-ma%C3%AEtre-s6-%C3%A0-gammarth,,,,,,,,False,False,False,False,False,False,False,False,False,False
8286513,sale,Villa S4 à La Marina,3 300 000 TND,La Marsa,,,,,,,,https://www.mubawab-media.com/ad/8/286/513F/h/thumb_1219091_property_xlarge_81785520.avif,https://www.mubawab.tn/fr/a/8286513/villa-s4-%C3%A0-la-marina,,,,,,,,False,False,False,False,False,False,False,False,False,False
8265991,sale,Villa A à vendre – Style djerbien,650 000 TND,Aghir,,150 m²,4 Chambres,,4 Pièces,,,https://www.mubawab-media.com/ad/8/265/991F/h/WhatsApp%20Image%202025-12-04%20%C3%A0%2013.03.05_2bd06d4a_81565359.avif,https://www.mubawab.tn/fr/a/8265991/villa-a-%C3%A0-vendre-%E2%80%93-style-djerbien,,,,,,,,False,False,False,False,False,False,False,False,False,False
,sale,Immeuble en open space haut standing ZA Kheireddine,À partir de 12 000 TND,Le Kram,Le Kram,,,,,,,,https://www.mubawab.tn/fr/p/4482/immeuble-en-open-space-haut-standing-za-kheireddine,,,,,,,,False,False,False,False,False,False,False,False,False,False
8174176,sale,A vendre maison de deux niveaux a corniche bizerte,480 000 TND,Bizerte,,95 m²,2 Chambres,1 Salle de bain,3 Pièces,,,https://www.mubawab-media.com/ad/8/174/176F/h/thumb_1121815_property_big_80603432.avif,https://www.mubawab.tn/fr/a/8174176/a-vendre-maison-de-deux-niveaux-a-corniche-bizerte,,,,,,,,False,False,False,False,False,False,False,False,False,False
8237032,sale,Coquet Duplex S3 à Gammarth,1 580 000 TND,La Marsa,,200 m²,3 Chambres,,,,,https://www.mubawab-media.com/ad/8/237/032F/h/thumb_1146483_property_xlarge_81251990.avif,https://www.mubawab.tn/fr/a/8237032/coquet-duplex-s3-%C3%A0-gammarth,,,,,,,,False,False,False,False,False,False,False,False,False,False
8239454,sale,Villa plain pied à vendre à Ghizen houmt souq,600 000 TND,Midoun,Midoune,680 m²,3 Chambres,,3 Pièces,,,https://www.mubawab-media.com/ad/8/239/454F/h/WhatsApp%20Image%202025-10-22%20at%2014.37.48_81276933.avif,https://www.mubawab.tn/fr/a/8239454/villa-plain-pied-%C3%A0-vendre-%C3%A0-ghizen-houmt-souq,,,,,,,,False,False,False,False,False,False,False,False,False,False
8155903,sale,Villa A vendre à Bizerte,550 000 TND,Bizerte,,150 m²,4 Chambres,,5 Pièces,,,https://www.mubawab-media.com/ad/8/155/903F/h/thumb_1100946_property_big_80417572.avif,https://www.mubawab.tn/fr/a/8155903/villa-a-vendre-%C3%A0-bizerte,,,,,,,,False,False,False,False,False,False,False,False,False,False
8285033,sale,A vendre une maison style arabe à Bizerte,135 000 TND,Bizerte Nord,Bizerte,85 m²,3 Chambres,1 Salle de bain,4 Pièces,,,https://www.mubawab-media.com/ad/8/285/033F/h/612660422_1450740450394960_420982353865056420_n%20%281%29_81770327.avif,https://www.mubawab.tn/fr/a/8285033/a-vendre-une-maison-style-arabe-%C3%A0-bizerte,,,,,,,,False,False,False,False,False,False,False,False,False,False
8285853,sale,A vendre une maison indépendante à Hammam Sousse,380 000 TND,Hammam Sousse Ghrabi,,160 m²,3 Chambres,,3 Pièces,,,https://www.mubawab-media.com/ad/8/285/853F/h/WhatsApp%20Image%202025-12-01%20at%2015.25.49_81778561.avif,https://www.mubawab.tn/fr/a/8285853/a-vendre-une-maison-ind%C3%A9pendante-%C3%A0-hammam-sousse,,,,,,,,False,False,False,False,False,False,False,False,False,False
8145609,sale,A Vendre Villa Moderne la soukra Chotrana II,2 500 000 TND,La Soukra,Chotrana 2,600 m²,5 Chambres,,8 Pièces,,,,https://www.mubawab.tn/fr/a/8145609/a-vendre-villa-moderne-la-soukra-chotrana-ii,,,,,,,,False,False,False,False,False,False,False,False,False,False
8118749,sale,A Vendre Villa RDC à Soukra,985 000 TND,La Soukra,Chotrana 2,200 m²,4 Chambres,,6 Pièces,,,https://www.mubawab-media.com/ad/8/118/749F/h/exterieur_81309311.avif,https://www.mubawab.tn/fr/a/8118749/a-vendre-villa-rdc-%C3%A0-soukra,,,,,,,,False,False,False,False,False,False,False,False,False,False
8283918,sale,A vendre Duplex S4 à Chotrana 1,830 000 TND,La Soukra,Chotrana 1,226 m²,3 Chambres,,4 Pièces,,,https://www.mubawab-media.com/ad/8/283/918F/h/jardin_81758998.avif,https://www.mubawab.tn/fr/a/8283918/a-vendre-duplex-s4-%C3%A0-chotrana-1,,,,,,,,False,False,False,False,False,False,False,False,False,False
8212588,sale,Duplex S3 avec piscine à vendre à La Soukra,790 000 TND,La Soukra,,245 m²,3 Chambres,,4 Pièces,,,https://www.mubawab-media.com/ad/8/212/588F/h/thumb_1141057_property_xlarge_80990224.avif,https://www.mubawab.tn/fr/a/8212588/duplex-s3-avec-piscine-%C3%A0-vendre-%C3%A0-la-soukra,,,,,,,,False,False,False,False,False,False,False,False,False,False
8192783,sale,A vendre S3 Haut standing zone touristique kantaoui,770 000 TND,Hammam Sousse,Cité de la Plage,151 m²,4 Chambres,1 Salle de bain,3 Pièces,,,https://www.mubawab-media.com/ad/8/192/783F/h/thumb_1139340_property_large_80790761.avif,https://www.mubawab.tn/fr/a/8192783/a-vendre-s3-haut-standing-zone-touristique-kantaoui,,,,,,,,False,False,False,False,False,False,False,False,False,False
8195635,sale,A vendre villa de 525 m² à Cité Ghazela,680 000 TND,Raoued,Cité el Ghazela,150 m²,3 Chambres,,4 Pièces,,,https://www.mubawab-media.com/ad/8/195/635F/h/b8d68ac8-69e6-49f9-99db-c93880bfdcb4-scaled_80820217.avif,https://www.mubawab.tn/fr/a/8195635/a-vendre-villa-de-525-m%C2%B2-%C3%A0-cit%C3%A9-ghazela,,,,,,,,False,False,False,False,False,False,False,False,False,False
8287802,sale,À vendre – Appartement S2 à rénover Marsa Ville,510 000 TND,La Marsa,,85 m²,2 Chambres,1 Salle de bain,2 Pièces,,,,https://www.mubawab.tn/fr/a/8287802/%C3%A0-vendre-%E2%80%93-appartement-s2-%C3%A0-r%C3%A9nover-marsa-ville,,,,,,,,False,False,False,False,False,False,False,False,False,False
8287142,sale,A Vendre une villa à rénover à Marsa Nassim,1 900 000 TND,La Marsa,,538 m²,3 Chambres,1 Salle de bain,3 Pièces,,,,https://www.mubawab.tn/fr/a/8287142/a-vendre-une-villa-%C3%A0-r%C3%A9nover-%C3%A0-marsa-nassim,,,,,,,,False,False,False,False,False,False,False,False,False,False
8288301,sale,Villa vente au Lac 1,Prix à consulter,La Marsa,Les Berges Du Lac 1,300 m²,4 Chambres,,5 Pièces,,,https://www.mubawab-media.com/ad/8/288/301F/h/1000205981_81804647.avif,https://www.mubawab.tn/fr/a/8288301/villa-vente-au-lac-1,,,,,,,,False,False,False,False,False,False,False,False,False,False
8230432,sale,A vendre Une Maison Dans La Médina De Tunis,1 100 000 TND,Tunis,Bab Souika,257 m²,5 Chambres,1 Salle de bain,6 Pièces,,,https://www.mubawab-media.com/ad/8/230/432F/h/11_81184178.avif,https://www.mubawab.tn/fr/a/8230432/a-vendre-une-maison-dans-la-m%C3%A9dina-de-tunis,,,,,,,,False,False,False,False,False,False,False,False,False,False
