page,title,price,location,listing_date,url,price_num,type,bedrooms,location_clean,age_hours
1,Studio Luxe à louer,270 DT,Ariana,2 minutes ago,https://www.tayara.tn/item/appartements/ariana/les-jardins-el-menzah-2/studio-luxe-louer/696172be0fe25058526220dd/,270.0,rent,,Ariana,0.03333333333333333
1,📍ENNASR 2 : APPARTEMENT S+3 A LOUER,1450 DT,Ariana,2 minutes ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s3-a-louer/696f6a262838b4e20246dc74/,1450.0,rent,,Ariana,0.03333333333333333
1,A louer s1 meublé manar1,800 DT,Tunis,3 minutes ago,https://www.tayara.tn/item/appartements/tunis/el-manar-1/a-louer-s1-meubl-manar1/696f6a081813559909245451/,800.0,rent,,Tunis,0.05
1,📍 NOUVELLE ARIANA : BUREAU H+3 SPACIEUX À LOUER,1400 DT,Ariana,3 minutes ago,https://www.tayara.tn/item/bureaux-et-plateaux/ariana/nouvelle-ariana/-nouvelle-ariana-bureau-h3-spacieux-louer/696f6a052838b4e20246dc63/,1400.0,rent,,Ariana,0.05
1,ENNASR 1 : APPARTEMENT S+3 RICHEMENT MEUBLÉ OU VIDE À LOUER,1400 DT,Ariana,3 minutes ago,https://www.tayara.tn/item/appartements/ariana/ennasr/ennasr-1-appartement-s3-richement-meubl-ou-vide-louer/696f69f0181355990924544a/,1400.0,rent,,Ariana,0.05
1,📍ARIANA: APPARTEMENT S+3 A LOUER,900 DT,Ariana,4 minutes ago,https://www.tayara.tn/item/appartements/ariana/ariana/ariana-appartement-s3-a-louer/696f69ad181355990924543b/,900.0,rent,,Ariana,0.06666666666666667
1,terrain à vendre,700 DT,Sousse,7 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/sousse/akouda/terrain-vendre/696f68f42838b4e20246dc0a/,700.0,sale,,Sousse,0.11666666666666667
1,📍ENNASR 2 : APPARTEMENT S+1 A LOUER,1150 DT,Ariana,8 minutes ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s1-a-louer/696f68e0abc480ecf871f087/,1150.0,rent,,Ariana,0.13333333333333333
1,📍 CENTRE URBAIN NORD – APPARTEMENT S+1 À LOUER (USAGE HABITATION OU BUREAUTIQUE),1200 DT,Tunis,8 minutes ago,https://www.tayara.tn/item/appartements/tunis/centre-urbain-nord/-centre-urbain-nord-appartement-s1-louer-usage-habitation-ou-bureautique/696f68bfabc480ecf871f07c/,1200.0,rent,,Tunis,0.13333333333333333
1,📍 ENNASR 2 : VILLA DE PRESTIGE AVEC PISCINE À LOUER,4200 DT,Ariana,9 minutes ago,https://www.tayara.tn/item/maisons-et-villas/ariana/cit-ennasr-2/-ennasr-2-villa-de-prestige-avec-piscine-louer/696f689718135599092453d6/,4200.0,rent,,Ariana,0.15
1,📍MENZAH 7 BIS : APPARTEMENT S+1 RICHEMENT MEUBLÉ À LOUER,950 DT,Tunis,9 minutes ago,https://www.tayara.tn/item/appartements/tunis/menzah/menzah-7-bis-appartement-s1-richement-meubl-louer/696f687fabc480ecf871f06c/,950.0,rent,,Tunis,0.15
1,🌸 À VENDRE – Appartement S+1 | Jamais Habité 🌸 📍 Cité Wahat,185000 DT,Tunis,14 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s1-jamais-habit-cit-wahat/696f6780abc480ecf871f01f/,185000.0,sale,,Tunis,0.23333333333333334
1,🏡 À LOUER | S+1 meublé – Jardins de Laouina,1200 DT,Tunis,14 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-s1-meubl-jardins-de-laouina/696f675a181355990924536f/,1200.0,rent,,Tunis,0.23333333333333334
1,a louer villa indépendant a la soukra,3500 DT,Tunis,15 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-louer-villa-indpendant-a-la-soukra/696f6733181355990924535d/,3500.0,rent,,Tunis,0.25
1,À vendre Terrain 916m2 Aghir,140 DT,Médenine,15 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/mdenine/aghir/-vendre-terrain-916m2-aghir/696e127d61206a95d69365f1/,140.0,sale,,Médenine,0.25
1,"🏡 À VENDRE | Appartement S+1 – Cité Wahat, L’Aouina🏡",187000 DT,Tunis,15 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s1-cit-wahat-laouina/696f67122838b4e20246db70/,187000.0,sale,,Tunis,0.25
1,À vendre Terrain 718m2 Aghir,140 DT,Médenine,16 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/mdenine/aghir/-vendre-terrain-718m2-aghir/696e14fc2838b4e202466d3a/,140.0,sale,,Médenine,0.26666666666666666
