scrape_date,category,title,price,location,size_m2,rooms,url,source,page
20260120,apt_sale,N/A,"335,000 TND",,105 m²,2,N/A,mubawab_ultra,1
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,1
20260120,apt_sale,N/A,"335,000 TND",N/A,105 m²,2,N/A,mubawab_ultra,1
20260120,apt_sale,N/A,"335,000 TND",N/A,105 m²,2,N/A,mubawab_ultra,1
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,1
20260120,apt_sale,N/A,"420,000 TND",,65 m²,1,N/A,mubawab_ultra,2
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,2
20260120,apt_sale,N/A,"420,000 TND",N/A,65 m²,1,N/A,mubawab_ultra,2
20260120,apt_sale,N/A,"420,000 TND",N/A,65 m²,1,N/A,mubawab_ultra,2
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,2
20260120,apt_sale,N/A,"650,000 TND",,131 m²,2,N/A,mubawab_ultra,3
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,3
20260120,apt_sale,N/A,"650,000 TND",N/A,131 m²,2,N/A,mubawab_ultra,3
20260120,apt_sale,N/A,"650,000 TND",N/A,131 m²,2,N/A,mubawab_ultra,3
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,3
20260120,apt_sale,Beautiful apartment for sale in El Kantaoui. Surface area 14...,"596,785 TND",,148 m²,3,N/A,mubawab_ultra,4
20260120,apt_sale,Beautiful apartment for sale in El Kantaoui. 3 rooms. Reside...,"538,118 TND",,133 m²,3,N/A,mubawab_ultra,4
20260120,apt_sale,Find an apartment to buy in El Kantaoui. 3 rooms. Residence...,"604,877 TND",,150 m²,3,N/A,mubawab_ultra,4
20260120,apt_sale,Apartment to purchase in El Kantaoui. 2 lovely rooms. Swimmi...,"415,524 TND",,107 m²,2,N/A,mubawab_ultra,4
20260120,apt_sale,Sell apartment in El Kantaoui. Large area 150 m². Robust doo...,"604,877 TND",,150 m²,3,N/A,mubawab_ultra,4
20260120,apt_sale,Sell apartment in El Kantaoui. Area of 95 m². Partial sea vi...,"393,633 TND",,95 m²,2,N/A,mubawab_ultra,4
20260120,apt_sale,Apartment for sale in El Kantaoui. 3 large living areas. Car...,"426,690 TND",,112 m²,2,N/A,mubawab_ultra,4
20260120,apt_sale,Alma residence,"180,000 TND",,N/A,N/A,N/A,mubawab_ultra,4
