scrape_date,category,title,price,location,size_m2,rooms,url,source,page
20260120,house_rent,Property for rent in Chotrana 3.4 lovely rooms. Soundproofin...,"2,800 TND",,250 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,A charming villa in Berges du Lac 2,"12,000 TND",,670 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Very nice apartment for rent in Cité Ennasr 2. Dimension 120...,N/A,,210 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Fabulous house for rent in El Menzah 1. 3 beautiful rooms. P...,"2,500 TND",,238 m²,3,N/A,mubawab_ultra,1
20260120,house_rent,Fabulous house for rent in La Marsa. 4 beautiful rooms. View...,"6,500 TND",,200 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Property for rent in Gammarth. Total area 200 m². General sa...,"2,400 TND",,200 m²,3,N/A,mubawab_ultra,1
20260120,house_rent,Find a house to rent in Les Berges Du Lac 2.3 rooms. Gardene...,"4,700 TND",,250 m²,3,N/A,mubawab_ultra,1
20260120,house_rent,Alma residence,"180,000 TND",,N/A,N/A,N/A,mubawab_ultra,1
20260120,house_rent,House for rent in Le Bardo. 6 rooms. Parking spaces and terr...,"3,000 TND",,300 m²,6,N/A,mubawab_ultra,1
20260120,house_rent,Fabulous house for rent in La Marsa. 4 large rooms. Cellar,"4,200 TND",,180 m²,3,N/A,mubawab_ultra,1
20260120,house_rent,Apartment for rent. 5 lovely rooms. Equipped kitchen,"1,800 TND",,150 m²,5,N/A,mubawab_ultra,1
20260120,house_rent,Beautiful house for rent in Akouda. 2 beautiful rooms. Attic,"2,000 TND",,180 m²,2,N/A,mubawab_ultra,1
20260120,house_rent,House for rent in Akouda. 5 large living areas. Well decorat...,"6,000 TND",,1300 m²,5,N/A,mubawab_ultra,1
20260120,house_rent,Rent your home in Gammarth. Small area 180 m². Furnishings,"4,500 TND",,180 m²,2,N/A,mubawab_ultra,1
20260120,house_rent,Beautiful house for rent in Le Kram. 3 beautiful rooms. Air...,"2,050 TND",,130 m²,3,N/A,mubawab_ultra,1
20260120,house_rent,Rent your home in La Marsa. Total area 120 m². Beautiful ter...,"3,000 TND",,120 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Offices for rent in Ain Zaghouan Nord. Small area 270 m²,"4,000 TND",,270 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Fabulous house for rent in El Kantaoui. 1 Living area. Caret...,"5,000 TND",,950 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Find a house to rent in La Marsa. 4 large living areas. Atti...,"3,500 TND",,300 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Fabulous house for rent in Hammamet Nord. Small area 100 m²...,"1,200 TND",,100 m²,2,N/A,mubawab_ultra,1
20260120,house_rent,Fabulous house for rent in Hammamet. 3 large living areas. F...,"2,000 TND",,160 m²,2,N/A,mubawab_ultra,1
20260120,house_rent,Rent your home in La Marsa. 6 comfortable rooms. Attic,"1,111 TND",,250 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Find a house to rent in Hammamet. Dimension 250 m². Storage...,"1,600 TND",,250 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,Rent your house in El Menzah 4. Large area 200 m². Air-condi...,"2,400 TND",,200 m²,6,N/A,mubawab_ultra,1
20260120,house_rent,Rent your house in Les Berges Du Lac 1.6 large living areas...,"5,500 TND",,250 m²,5,N/A,mubawab_ultra,1
20260120,house_rent,Rent your house in Sidi Bousaid. Large area 500 m². Cellar,"10,000 TND",,500 m²,6,N/A,mubawab_ultra,1
20260120,house_rent,Find a house to rent in La Marsa. 4 rooms. Furnished,"2,400 TND",,200 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,House for rent in Gammarth Village. 6 large living areas. Wi...,"3,800 TND",,250 m²,5,N/A,mubawab_ultra,1
20260120,house_rent,Find a house to rent in La Marsa. 6 rooms. Exceptional mount...,"2,700 TND",,150 m²,6,N/A,mubawab_ultra,1
20260120,house_rent,Beautiful house for rent in La Soukra. 5 beautiful rooms. Gr...,"3,000 TND",,350 m²,5,N/A,mubawab_ultra,1
20260120,house_rent,"House for rent in Gammarth. 4 rooms. Green areas, Balcony",N/A,,600 m²,4,N/A,mubawab_ultra,1
20260120,house_rent,House for rent in Hammamet Sud. 3 rooms. Attic,"1,700 TND",,220 m²,3,N/A,mubawab_ultra,1
20260120,house_rent,Property for rent in Hammamet Nord. 5 lovely rooms. Furnishi...,"3,500 TND",,400 m²,5,N/A,mubawab_ultra,1
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,1
20260120,house_rent,N/A,"4,500 TND",,315 m²,3,N/A,mubawab_ultra,2
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,2
20260120,house_rent,N/A,"4,500 TND",N/A,315 m²,3,N/A,mubawab_ultra,2
20260120,house_rent,N/A,"4,500 TND",N/A,315 m²,3,N/A,mubawab_ultra,2
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,2
20260120,house_rent,N/A,"6,500 TND",,120 m²,5,N/A,mubawab_ultra,3
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,3
20260120,house_rent,N/A,"6,500 TND",N/A,120 m²,5,N/A,mubawab_ultra,3
20260120,house_rent,N/A,"6,500 TND",N/A,120 m²,5,N/A,mubawab_ultra,3
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,3
20260120,house_rent,N/A,"2,300 TND",,650 m²,10,N/A,mubawab_ultra,4
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,4
20260120,house_rent,N/A,"2,300 TND",N/A,650 m²,10,N/A,mubawab_ultra,4
20260120,house_rent,N/A,"2,300 TND",N/A,650 m²,10,N/A,mubawab_ultra,4
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,4
20260120,house_rent,N/A,"4,000 TND",,300 m²,4,N/A,mubawab_ultra,5
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,5
20260120,house_rent,N/A,"4,000 TND",N/A,300 m²,4,N/A,mubawab_ultra,5
20260120,house_rent,N/A,"4,000 TND",N/A,300 m²,4,N/A,mubawab_ultra,5
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,5
20260120,house_rent,N/A,"8,000 TND",,300 m²,4,N/A,mubawab_ultra,6
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,6
20260120,house_rent,N/A,"8,000 TND",N/A,300 m²,4,N/A,mubawab_ultra,6
20260120,house_rent,N/A,"8,000 TND",N/A,300 m²,4,N/A,mubawab_ultra,6
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,6
20260120,house_rent,N/A,"3,500 TND",,300 m²,4,N/A,mubawab_ultra,7
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,7
20260120,house_rent,N/A,"3,500 TND",N/A,300 m²,4,N/A,mubawab_ultra,7
20260120,house_rent,N/A,"3,500 TND",N/A,300 m²,4,N/A,mubawab_ultra,7
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,7
20260120,house_rent,Property for rent in La Marsa. Small area 200 m². Parking sp...,"3,500 TND",,200 m²,4,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in Route de Gabes. 1 Room,"2,800 TND",,1110 m²,1,N/A,mubawab_ultra,8
20260120,house_rent,Beautiful house for rent in Ain Zaghouan Nord. 5 lovely room...,"3,700 TND",,280 m²,4,N/A,mubawab_ultra,8
20260120,house_rent,House for rent. 2 beautiful rooms. Garage and terrace,750 TND,,100 m²,2,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in El Menzah 7. Area 200 m². Parking spaces a...,N/A,,200 m²,4,N/A,mubawab_ultra,8
20260120,house_rent,Find a house to rent in La Marsa. 4 large rooms. Storage uni...,"7,000 TND",,300 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Find a house to rent in Les Berges Du Lac 1. Total area 700...,"6,500 TND",,700 m²,5,N/A,mubawab_ultra,8
20260120,house_rent,Residence Floria - Cité el Ghazela,"309,900 TND",,N/A,N/A,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in Sidi Daoued. Dimension 250 m². Ample stora...,"3,700 TND",,250 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Fabulous house for rent in La Marsa. Total area 170 m². Terr...,"2,700 TND",,170 m²,5,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in Les Berges Du Lac 2. Dimension 600 m². Pri...,"14,000 TND",,600 m²,5,N/A,mubawab_ultra,8
20260120,house_rent,Rent your house in Hammamet Nord. 2 beautiful rooms. Fully f...,N/A,,N/A,2,N/A,mubawab_ultra,8
20260120,house_rent,Fabulous house for rent in Gammarth. 4 rooms. Carpark and ga...,"5,900 TND",,500 m²,4,N/A,mubawab_ultra,8
20260120,house_rent,Find a house to rent in La Marsa. 3 lovely rooms. Green area...,"2,800 TND",,300 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Fabulous house for rent in Sidi Daoued. Surface area 150 m²...,"2,500 TND",,150 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,House for sale in La Soukra. 3 beautiful rooms. Equipped kit...,"2,000 TND",,124 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Property for rent in Sidi Daoued. Dimension 180 m². Dressing...,"3,500 TND",,180 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Find a house to rent in Cité de la Plage. Small area 120 m²...,"1,200 TND",,120 m²,2,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in Aouina. 3 lovely rooms. Large balcony,"1,700 TND",,N/A,3,N/A,mubawab_ultra,8
20260120,house_rent,Rent your home in Les Berges Du Lac 2. Surface area 600 m²...,"9,500 TND",,600 m²,5,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in Cité Ennasr 2.5 rooms. Garden and terrace,N/A,,210 m²,5,N/A,mubawab_ultra,8
20260120,house_rent,Beautiful house for sale in Cité Ennasr 1. Total area 180 m²...,"2,000 TND",,180 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in Gammarth Supérieur. Surface area 1000 m²...,"8,000 TND",,1000 m²,5,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in Cité El Khalil. 4 beautiful rooms. Gardene...,"2,000 TND",,145 m²,4,N/A,mubawab_ultra,8
20260120,house_rent,Find a house to rent in La Marsa. Area of 225 m². Double gla...,"4,500 TND",,225 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Rent your home in Les Berges Du Lac 2.4 large living areas...,"3,000 TND",,200 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Beautiful house for rent in Hammamet. 2 beautiful rooms. Ful...,"2,000 TND",,300 m²,2,N/A,mubawab_ultra,8
20260120,house_rent,Property for rent in Chotrana 1.7 beautiful rooms. Green are...,"500,000 TND",,5000 m²,7,N/A,mubawab_ultra,8
20260120,house_rent,Find a house to rent in Chotrana 3.3 beautiful rooms. Dressi...,"4,500 TND",,1000 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,"Rent your house in Dar Fadhal. Area 850 m². Green areas, Par...","10,000 TND",,850 m²,14,N/A,mubawab_ultra,8
20260120,house_rent,House for rent in Le Kram. Dimension 1040 m². Air-conditione...,"15,500 TND",,1040 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Property for rent in Les Berges Du Lac 2.3 rooms. Stunning s...,"3,500 TND",,250 m²,3,N/A,mubawab_ultra,8
20260120,house_rent,Rent your house in Gammarth. 4 large rooms. Property with sw...,"4,700 TND",,400 m²,4,N/A,mubawab_ultra,8
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,8
20260120,house_rent,N/A,"2,500 TND",,300 m²,4,N/A,mubawab_ultra,9
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,9
20260120,house_rent,N/A,"2,500 TND",N/A,300 m²,4,N/A,mubawab_ultra,9
20260120,house_rent,N/A,"2,500 TND",N/A,300 m²,4,N/A,mubawab_ultra,9
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,9
20260120,house_rent,N/A,600 TND,,120 m²,2,N/A,mubawab_ultra,10
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,10
20260120,house_rent,N/A,600 TND,N/A,120 m²,2,N/A,mubawab_ultra,10
20260120,house_rent,N/A,600 TND,N/A,120 m²,2,N/A,mubawab_ultra,10
20260120,house_rent,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,10
20260120,house_rent,Rent your house in Ain Zaghouan Nord. 1 room. Dressing room,"2,500 TND",,75 m²,1,N/A,mubawab_ultra,11
20260120,house_rent,Beautiful house for rent in La Soukra. Total area 300 m². Pa...,"2,700 TND",,300 m²,4,N/A,mubawab_ultra,11
20260120,house_rent,House for rent in Les Berges Du Lac 2. 4 rooms. Microwave,"3,800 TND",,250 m²,4,N/A,mubawab_ultra,11
20260120,house_rent,Beautiful house for rent in Chott Meriem. 3 rooms. Garden an...,"2,000 TND",,N/A,3,N/A,mubawab_ultra,11
20260120,house_rent,Rent your home in La Marsa. 4 rooms. Fully furnished,"5,500 TND",,181 m²,4,N/A,mubawab_ultra,11
20260120,house_rent,Find a house to rent in Sidi Bousaid. Dimension 400 m². Gard...,"4,300 TND",,400 m²,4,N/A,mubawab_ultra,11
20260120,house_rent,Rent your home in Gammarth. 3 rooms. Fully furnished,"6,500 TND",,115 m²,3,N/A,mubawab_ultra,11
20260120,house_rent,Cap Kantaoui Residence _ Sea View,"298,230 TND",,N/A,N/A,N/A,mubawab_ultra,11
20260120,house_rent,House for rent in La Soukra. 4 lovely rooms. Carpark and gar...,"4,500 TND",,350 m²,4,N/A,mubawab_ultra,11
20260120,house_rent,House for rent in Sidi Bousaid. 2 rooms. Well furnished,"6,000 TND",,100 m²,2,N/A,mubawab_ultra,11
20260120,house_rent,Fabulous house for rent in Sidi Salah. 5 comfortable rooms...,"2,200 TND",,435 m²,5,N/A,mubawab_ultra,11
20260120,house_rent,Find a house to rent in Carthage. Area 1 m². Central heating,"3,300 TND",,1 m²,3,N/A,mubawab_ultra,11
20260120,house_rent,House for rent in La Marsa. 2 lovely rooms. Parking spaces a...,"3,500 TND",,100 m²,2,N/A,mubawab_ultra,11
20260120,house_rent,Rent your house in La Marsa. 3 rooms. Beautiful terrace,"3,000 TND",,250 m²,3,N/A,mubawab_ultra,11
20260120,house_rent,House for rent in Les Berges Du Lac 1. Surface area 150 m²...,"4,000 TND",,150 m²,2,N/A,mubawab_ultra,11
20260120,house_rent,Rent your home in Aouina. 1 room. Storage unit,"2,000 TND",,60 m²,1,N/A,mubawab_ultra,11
20260120,house_rent,Beautiful house for rent in Salambo. Small area 100 m². Rein...,"1,350 TND",,100 m²,2,N/A,mubawab_ultra,11
20260120,house_rent,House for rent in La Marsa. 6 comfortable rooms. Green areas...,"12,000 TND",,450 m²,4,N/A,mubawab_ultra,11
20260120,house_rent,House for rent in Chotrana 1. Surface area 210 m². Reinforce...,"2,650 TND",,210 m²,3,N/A,mubawab_ultra,11
20260120,house_rent,Fabulous house for rent in La Marsa. 5 lovely rooms,"3,300 TND",,250 m²,5,N/A,mubawab_ultra,11
20260120,house_rent,Home to buy in Midoune. 3 rooms. Beautiful terrace and garde...,900 TND,,240 m²,3,N/A,mubawab_ultra,11
20260120,house_rent,"Rent your house in El Manar 2.4 large rooms. Green areas, Ba...","2,000 TND",,170 m²,3,N/A,mubawab_ultra,11
20260120,house_rent,House for rent in Hammamet. 3 lovely rooms. Cellar,"2,000 TND",,200 m²,3,N/A,mubawab_ultra,11
20260120,house_rent,Fabulous house for rent in La Marsa. 5 large living areas. G...,"5,500 TND",,400 m²,4,N/A,mubawab_ultra,11
20260120,house_rent,"Property for rent in El Manar 1. Area of 600 m². Cellar, Lar...",N/A,,600 m²,10,N/A,mubawab_ultra,11
20260120,house_rent,Property for rent in Aouina. Dimension 1500 m². Gardeners,"12,000 TND",,1500 m²,14,N/A,mubawab_ultra,11
20260120,house_rent,Rent your home. 3 beautiful rooms. Furnished,"3,000 TND",,500 m²,3,N/A,mubawab_ultra,11
20260120,house_rent,"Fabulous house for rent in La Soukra. 3 rooms. Carpark, Balc...","2,900 TND",,160 m²,3,N/A,mubawab_ultra,11
