page,title,price,location,size_m2,url
1,Apartment for sale in Hammamet Sud. 1 Room. Fully furnished,"335,000 TND",Hammamet,"105
						m²",N/A
1,Sell apartment in Les Jardins de Carthage. 3 rooms. Thermal...,Price on request,Le Kram,"119
						m²",N/A
1,Apartment for sale in Les Jardins de Carthage. 2 rooms. Doub...,"419,000 TND",Le Kram,"99
						m²",N/A
1,Find an apartment to buy in Les Jardins de Carthage. 2 lovel...,Price on request,Le Kram,"115
						m²",N/A
1,Find an apartment to buy in Sousse Jaouhara. 2 beautiful roo...,"282,000 TND",Sousse Jaouhara,"98
						m²",N/A
1,Apartment to purchase in Les Jardins d'El Menzah 2.4 large r...,"676,000 TND",Ariana Ville,"211
						m²",N/A
1,Beautiful apartment for sale in Cité Les Pins. 3 beautiful r...,"850,000 TND",La Marsa,"122
						m²",N/A
1,Cap Kantaoui Residence _ Sea View,"From298,230 TND",Hammam Sousse,Completed,N/A
1,Sell apartment in Les Jardins de Carthage. 4 large living ar...,"865,000 TND",Le Kram,"152
						m²",N/A
1,Apartment for sale in Kairouan Ville. Area of 95 m². Equippe...,"223,532 TND",Kairouan Ville,"95
						m²",N/A
1,Apartment for sale in Bhar Lazreg. Small area 81 m²,"283,000 TND",La Marsa,"81
						m²",N/A
1,Sell apartment in Les Jardins de Carthage. 1 room. Enclosed...,"533,600 TND",Le Kram,"92
						m²",N/A
1,Sell apartment in Les Jardins de Carthage. 3 large rooms. Ro...,"672,800 TND",Le Kram,"116
						m²",N/A
1,Sale of a lovely apartment in Les Jardins de Carthage. 2 bea...,"748,200 TND",Le Kram,"129
						m²",N/A
1,Find an apartment to buy in Les Jardins de Carthage. 2 lovel...,"533,600 TND",Le Kram,"92
						m²",N/A
1,Sell apartment in Les Jardins de Carthage. Small area 121 m²...,"748,200 TND",Le Kram,"121
						m²",N/A
1,Sale of a lovely apartment in Nouvelle Medina. Area of 124 m...,"335,000 TND",Nouvelle Medina,"124
						m²",N/A
1,Fabulous apartment for sale in Nouvelle Medina. Large area 6...,"180,000 TND",Nouvelle Medina,"61
						m²",N/A
1,Apartment for sale in Nouvelle Medina. 2 beautiful rooms. Re...,"325,000 TND",Nouvelle Medina,"121
						m²",N/A
1,Apartment to purchase in Nouvelle Medina. Area 121 m². Doubl...,"325,000 TND",Nouvelle Medina,"121
						m²",N/A
2,Fabulous apartment for sale in La Soukra. 1 room. Carpark an...,"300,000 TND",La Soukra,"61
						m²",N/A
2,"Apartment for sale in La Soukra. 3 rooms. Secured door, Cent...","840,000 TND",La Soukra,"121
						m²",N/A
2,Sale of a lovely apartment in La Manouba. 3 beautiful rooms...,"272,000 TND",La Manouba,"98
						m²",N/A
2,Fabulous apartment for sale in Les Jardins de Carthage. 4 la...,Price on request,Le Kram,"190
						m²",N/A
2,Sell apartment in Les Jardins de Carthage. 4 large living ar...,"930,000 TND",Le Kram,"163
						m²",N/A
2,"Apartment to purchase. Area of 46 m². Secured door, Secured...","189,000 TND",Hergla,"46
						m²",N/A
2,Beautiful apartment for sale in La Soukra. Small area 150 m²...,Price on request,La Soukra,"150
						m²",N/A
2,RESIDENCE MYRIAM 3 - Carthage Gardens,"From640,000 TND",Le Kram,Completed,N/A
2,Apartment to purchase in La Perle du Lac 1. Small area 224 m...,Price on request,La Marsa,"224
						m²",N/A
2,Apartment for sale in El Kantaoui. 2 rooms. Lift and terrace,"620,152 TND",Hammam Sousse,"132
						m²",N/A
2,Apartment for sale in El Kantaoui. Surface area 79 m². Large...,Price on request,Hammam Sousse,"79
						m²",N/A
2,Apartment for sale in El Kantaoui. Total area 79 m². General...,Price on request,Hammam Sousse,"79
						m²",N/A
2,Find an apartment to buy in El Kantaoui. 3 rooms. Quiet sorr...,Price on request,Hammam Sousse,"127
						m²",N/A
2,Apartment for sale in El Kantaoui. 2 beautiful rooms. Large...,Price on request,Hammam Sousse,"107
						m²",N/A
2,Find an apartment to buy in El Kantaoui. 3 rooms. Caretaker...,Price on request,Hammam Sousse,"111
						m²",N/A
2,Apartment for sale in El Kantaoui. 2 lovely rooms. Caretaker...,Price on request,Hammam Sousse,"115
						m²",N/A
2,Apartment for sale in El Kantaoui. Area of 56 m². Caretaker...,Price on request,Hammam Sousse,"56
						m²",N/A
2,Beautiful apartment for sale in El Kantaoui. 3 comfortable r...,"514,701 TND",Hammam Sousse,"115
						m²",N/A
2,Apartment for sale in El Kantaoui. 3 comfortable rooms. Care...,Price on request,Hammam Sousse,"136
						m²",N/A
2,Find an apartment to buy in El Kantaoui. Area 73 m². Built i...,"330,810 TND",Hammam Sousse,"73
						m²",N/A
3,Apartment for sale in Les Jardins de Carthage. 1 lovely room...,Price on request,Le Kram,"89
						m²",N/A
3,Sale of a lovely apartment in Les Jardins de Carthage. 3 roo...,"640,000 TND",Le Kram,"129
						m²",N/A
3,Find an apartment to buy in Les Jardins de Carthage. 2 lovel...,"650,000 TND",Le Kram,"131
						m²",N/A
3,Sell apartment in Les Jardins de Carthage. 3 large rooms. Ge...,"640,000 TND",Le Kram,"129
						m²",N/A
3,Sale of a lovely apartment in Les Jardins de Carthage. 4 roo...,"770,000 TND",Le Kram,"155
						m²",N/A
3,Beautiful apartment for sale in Les Jardins de Carthage. Are...,"650,000 TND",Le Kram,"131
						m²",N/A
3,Sale of a lovely apartment in Les Jardins de Carthage. 2 bea...,"650,000 TND",Le Kram,"131
						m²",N/A
3,Khadouja Residence,"From533,600 TND",Le Kram,N/A,N/A
3,Find an apartment to buy in Les Jardins de Carthage. Total a...,"650,000 TND",Le Kram,"131
						m²",N/A
3,Sale of a lovely apartment in Chotrana 1. Total area 134 m²...,"780,000 TND",La Soukra,"134
						m²",N/A
3,Apartment for sale in Chotrana 1.3 rooms. Thermal insulation...,"445,746 TND",La Soukra,"106
						m²",N/A
3,Sell apartment in Les Jardins de Carthage. 4 rooms. Reinforc...,Price on request,Le Kram,"270
						m²",N/A
3,Sale of a lovely apartment in Gammarth Village. 4 beautiful...,"980,000 TND",La Marsa,"275
						m²",N/A
3,Apartment to purchase. 3 large rooms. Well equipped kitchen,"210,000 TND",Bizerte,"90
						m²",N/A
3,Find an apartment to buy in Les Jardins de Carthage. 3 rooms...,Price on request,Le Kram,"161
						m²",N/A
3,Sell apartment. Area 147 m². Quiet sorroundings with sea vie...,"550,000 TND",Bizerte,"147
						m²",N/A
3,Apartment for sale. 2 beautiful rooms. Balcony,"180,000 TND",Bizerte,"90
						m²",N/A
3,Apartment to purchase. 12 rooms. Equipped kitchen,"450,000 TND",Bizerte,"179
						m²",N/A
3,Apartment to purchase. 3 comfortable rooms. Exceptional sea...,"650,000 TND",Bizerte,"135
						m²",N/A
3,Fabulous apartment for sale in Mornag. 2 beautiful rooms. Ro...,"229,200 TND",Mornag,"115
						m²",N/A
4,Find an apartment to buy in Les Jardins de Carthage. 2 rooms...,"709,000 TND",Le Kram,"129
						m²",N/A
4,Sale of a lovely apartment in Les Jardins de Carthage. 2 roo...,"672,800 TND",Le Kram,"116
						m²",N/A
4,Beautiful apartment for sale in Les Jardins de Carthage. 2 b...,"748,200 TND",Le Kram,"121
						m²",N/A
4,Find an apartment to buy in Les Jardins de Carthage. Dimensi...,"533,600 TND",Le Kram,"92
						m²",N/A
4,Apartment for sale in Nouvelle Medina. 2 beautiful rooms. Sw...,"260,000 TND",Nouvelle Medina,"92
						m²",N/A
4,Sale of a lovely apartment in Nouvelle Medina. 1 Living area...,"180,000 TND",Nouvelle Medina,"61
						m²",N/A
4,Beautiful apartment for sale in El Kantaoui. Surface area 14...,"596,785 TND",Hammam Sousse,"148
						m²",N/A
4,Cap Kantaoui Residence _ Sea View,"From298,230 TND",Hammam Sousse,Completed,N/A
4,Beautiful apartment for sale in El Kantaoui. 3 rooms. Reside...,"538,118 TND",Hammam Sousse,"133
						m²",N/A
4,Sale of a lovely apartment in Sahloul. 3 comfortable rooms...,"340,000 TND",Sahloul,"137
						m²",N/A
4,Fabulous apartment for sale in Les Jardins d'El Menzah 1.1 l...,Price on request,Ariana Ville,"68
						m²",N/A
4,Find an apartment to buy in Aouina. Area of 119 m². No Lift...,"449,000 TND",La Marsa,"119
						m²",N/A
4,Apartment to purchase in Les Jardins de Carthage. 3 lovely r...,"1,238,000 TND",Le Kram,"188
						m²",N/A
4,Fabulous apartment for sale in Les Berges Du Lac 2. 5 comfor...,"1,300,000 TND",La Marsa,"200
						m²",N/A
4,Apartment for sale in Cité El Khadra. Area of 130 m². Air co...,"225,000 TND",Cité El Khadra,"130
						m²",N/A
4,Beautiful apartment for sale in Ain Zaghouan Nord. Surface a...,Price on request,La Marsa,"101
						m²",N/A
4,Beautiful apartment for sale in Les Jardins de Carthage. 4 l...,Price on request,Le Kram,"194
						m²",N/A
4,Apartment to purchase in Chotrana 1.3 lovely rooms. Double g...,"817,920 TND",La Soukra,"129
						m²",N/A
4,Apartment to purchase in Les Jardins d'El Menzah 1. Dimensio...,Price on request,Ariana Ville,"107
						m²",N/A
4,Sale of a lovely apartment in Les Jardins d'El Menzah 1.3 la...,Price on request,Ariana Ville,"106
						m²",N/A
