page,title,price,location,listing_date,url,price_num,type,bedrooms,location_clean,age_hours
1,terrain à vendre,700 DT,Sousse,7 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/sousse/akouda/terrain-vendre/696f68f42838b4e20246dc0a/,700.0,sale,,Sousse,0.11666666666666667
1,🌸 À VENDRE – Appartement S+1 | Jamais Habité 🌸 📍 Cité Wahat,185000 DT,Tunis,14 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s1-jamais-habit-cit-wahat/696f6780abc480ecf871f01f/,185000.0,sale,,Tunis,0.23333333333333334
1,À vendre Terrain 916m2 Aghir,140 DT,Médenine,15 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/mdenine/aghir/-vendre-terrain-916m2-aghir/696e127d61206a95d69365f1/,140.0,sale,,Médenine,0.25
1,"🏡 À VENDRE | Appartement S+1 – Cité Wahat, L’Aouina🏡",187000 DT,Tunis,15 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s1-cit-wahat-laouina/696f67122838b4e20246db70/,187000.0,sale,,Tunis,0.25
1,À vendre Terrain 718m2 Aghir,140 DT,Médenine,16 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/mdenine/aghir/-vendre-terrain-718m2-aghir/696e14fc2838b4e202466d3a/,140.0,sale,,Médenine,0.26666666666666666
1,a vendre s+4 spacieuse avec parking ss a laouina,395000 DT,Tunis,17 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s4-spacieuse-avec-parking-ss-a-laouina/696f66bd2838b4e20246db49/,395000.0,sale,,Tunis,0.2833333333333333
1,À vendre S+1 / S+2 / S+3sur plan – Remise des clés fin 2027 Salle de sport équipé Piscine collective,2 DT,Tunis,17 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-s1-s2-s3sur-plan-remise-des-cls-fin-2027-salle-de-sport-quip-piscine-collective/696f669aabc480ecf871efc5/,2.0,sale,,Tunis,0.2833333333333333
1,🏡 À Vendre – S+2 avec Jardin 95 m2• Direct Promoteur • Nouvelle soukra couvert 90 m2,430000 DT,Tunis,18 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-s2-avec-jardin-95-m2-direct-promoteur-nouvelle-soukra-couvert-90-m2/696f66782838b4e20246db2c/,430000.0,sale,,Tunis,0.3
1,📍 a vendre s+1 avec parking ss – Vue dégagée sur la Clinique La Soukra,260000 DT,Tunis,19 minutes ago,https://www.tayara.tn/item/maisons-et-villas/tunis/l-aouina/-a-vendre-s1-avec-parking-ss-vue-dgage-sur-la-clinique-la-soukra/696f662d2838b4e20246db16/,260000.0,sale,,Tunis,0.31666666666666665
1,A vendre deux lots de terrain 430m² est 341m² Titre individuelle viabilisé Lotissement ELMASSMOUDI 300m du rom-point Parc Soukra,800 DT,Ariana,20 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/ariana/la-soukra/a-vendre-deux-lots-de-terrain-430m-est-341m-titre-individuelle-viabilis-lotissement-elmassmoudi-300m-du-rompoint-parc-soukra/6746fccd0d8480a1e0188710/,800.0,sale,,Ariana,0.3333333333333333
